b_number,gene_name
b0169,rpsB
b3303,rpsE
b4200,rpsF
b3341,rpsG
b3230,rpsI
b3321,rpsJ
b3297,rpsK
b3342,rpsL
b3307,rpsN
b3165,rpsO
b2609,rpsP
b3311,rpsQ
b4202,rpsR
b3065,rpsU
b3984,rplA
b3317,rplB
b3320,rplC
b3319,rplD
b3308,rplE
b3305,rplF
b4203,rplI
b3985,rplJ
b3983,rplK
b3986,rplL
b3231,rplM
b3310,rplN
b3301,rplO
b3313,rplP
b3294,rplQ
b3304,rplR
b2606,rplS
b1716,rplT
b3186,rplU
b3315,rplV
b3318,rplW
b3309,rplX
b3185,rpmA
b3637,rpmB
b3302,rpmD
b1089,rpmF
b3636,rpmG
b3703,rpmH
b1717,rpmI
b3299,rpmJ
b4506,ykgO
b0911,rpsA
b0169,rpsB
b3314,rpsC
b3296,rpsD
b3303,rpsE
b4200,rpsF
b3341,rpsG
b3306,rpsH
b3230,rpsI
b3321,rpsJ
b3297,rpsK
b3342,rpsL
b3298,rpsM
b3307,rpsN
b3165,rpsO
b2609,rpsP
b3311,rpsQ
b4202,rpsR
b3316,rpsS
b0023,rpsT
b3065,rpsU
b3984,rplA
b3317,rplB
b3320,rplC
b3319,rplD
b3308,rplE
b3305,rplF
b3986,rplL
b4203,rplI
b3985,rplJ
b3983,rplK
b3231,rplM
b3310,rplN
b3301,rplO
b3313,rplP
b3294,rplQ
b3304,rplR
b2606,rplS
b1716,rplT
b3186,rplU
b3315,rplV
b3318,rplW
b3309,rplX
b2185,rplY
b3185,rpmA
b3637,rpmB
b3312,rpmC
b3302,rpmD
b3936,rpmE
b0296,ykgM
b1089,rpmF
b3636,rpmG
b3703,rpmH
b1717,rpmI
b3299,rpmJ
b4506,ykgO
b0169,rpsB
b3314,rpsC
b3296,rpsD
b3303,rpsE
b3341,rpsG
b3306,rpsH
b3230,rpsI
b3321,rpsJ
b3297,rpsK
b3342,rpsL
b3298,rpsM
b3307,rpsN
b3165,rpsO
b3311,rpsQ
b3316,rpsS
b3984,rplA
b3317,rplB
b3320,rplC
b3308,rplE
b3305,rplF
b3985,rplJ
b3983,rplK
b3231,rplM
b3310,rplN
b3301,rplO
b3304,rplR
b3315,rplV
b3318,rplW
b3309,rplX
b3312,rpmC
b3302,rpmD