Protein IDs,Gene Names,CN (TP3) Rep2TP3
B1XFK6;C4ZT78;P0ACI0;P0ACH5,ECDH10B_4554;rob;b4396;JW4359,161.0016568
P06966,b1570;dicA;JW1562,222.0404472
P76272,b1834;JW1823;yebT,217.2906859
P23878,b0588;fepC;JW0580,221.3650224
P75796,b0829;gsiA;JW5897;yliA,273.4380936
P0A756,b3351;JW3314;kefG;yheR,262.2173272
P43340,b0901;JW0884;ycaK,168.3332838
P23524,b3124;garK;JW3093;yhaD,177.5277758
P45544,b3375;frlR;JW5698;yhfR,194.239092
P22939,b0421;ispA;JW0411,354.1295661
P33644,b2593;JW2575;yfiH,203.5207357
P0C093,b3641;JW5641;slmA;ttk;yicB,532.2020394
P32160,b3920;JW3891;yiiQ,263.6226465
P10384,b2344;fadL;JW2341;ttr,266.4332851
P0A698,b4058;dinE;JW4019;uvrA,332.2000489
Q47150,b0226;dinJ;JW0216,392.5852024
P0A7Y8,b3704;JW3681;rnpA,318.4736745
P32099,b4386;JW4349;lplA;yjjF,311.0984717
P0AAK4,b2713;hydN;JW2683,61.99201083
P0A6Z1,b2526;hsc;hscA;JW2510,367.0388944
P42588,b3073;JW5510;patA;ygjG,398.108434
P52060,b2953;JW5479;yggU,289.7136519
P0ADA3,b2742;JW2712;nlpD,280.1814474
P0AFK4,b1125;JW1111;potB,289.898849
P0ADT2,b3037;JW5927;ygiB,683.5734462
P0AFM4,b0384;JW5054;psiF,234.5249115
Q47147,b0223;JW0213;yafJ,223.6200696
P52096,b0187;JW0182;yaeR,108.4241958
P77148,b1668;JW1658;ydhS,235.6687761
P30864,b0208;JW0198;yafC,177.4297303
P69795,b1738;celA;chbB;JW1727,213.7937286
P75838,b0905;JW0888;ycaO,352.5063679
P55734,b2668;JW2643;ygaP,331.7207152
P46888,b1895;JW1884;uspC;yecG,144.0288859
P33940,b2210;JW2198;mqo;yojH,339.1394937
P36979,b2517;JW2501;rlmN;yfgB,357.1471897
P32695,b4049;dusA;JW5950;yjbN,370.3942304
P32701,b4061;JW4022;yjcC,390.2865794
B1XAK0;C5A012;P69428,ECDH10B_4027;tatA;b3836;JW3813;mttA1;yigT,376.4730534
P22525,b0925;JW0908;ycbB,287.1535741
P27830,b3788;JW5598;rffG,288.8312421
P77293,b2351;JW2347;yfdH,365.5464236
P23367,b4170;JW4128;mutL,181.9507187
P36649,b0123;cueO;JW0119;yacK,492.1994625
P09546,b1014;JW0999;poaA;putA,223.6636454
P0A8N0,b0956;JW0939;ycbG,336.3833249
P76062,b1356;JW1351;racR;ydaR,41.45474015
P13001,b3412;bioB;bioH;JW3375,228.4678765
P28905,b4259;holC;JW4216,266.1173606
P0A8R9,b4480;hdfR;JW5607;pssR;yifA;yifD,103.2463023
P0AEI4,b0835;JW0819;rimO;yliG,965.8574255
P0AFQ7,b1100;JW1086;ycfH,447.2074574
P0A6L7,b1521;JW1514;uxaB,100.2199636
P03018,b3813;JW3786;mutU;pdeB;rad;recL;uvrD,190.9382258
P77748,b1687;JW1677;ydiJ,655.4997423
P0A6U5,b3740;gidB;JW3718;rsmG,492.7441599
P0AA39,b1086;JW1072;rluC;yceC,652.0899366
P0AFW0,b3842;hlyT;JW3818;rfaH;sfrB,383.6303772
P00803,b2568;JW2552;lepB,311.0657899
P0ACL2,b3094;exuR;JW3065,327.8206818
P23894,b1829;htpX;JW1818,114.4518172
P0AFD6,b2281;JW2276;nuoI,524.4237605
P69831,b2092;gatC;JW2076,725.7874945
P76187,b1647;JW1639;ydhF,345.7303322
P0AFW8,b0189;JW0184;rof;yaeO,288.0250899
P03004,b3702;dnaA;JW3679,378.2814487
P0AAG3,b0652;gltL;JW0647,385.0248025
Q46893,b2747;ispD;JW2717;ygbP,442.6537872
P36562,b1991;cobT;JW1969,243.3272215
P77434,b2379;JW2376;yfdZ,322.2429805
P37685,aldB;b3588;JW3561;yiaX,221.5175377
P0AAH8,b1290;JW1283;sapF,202.7690533
P08179,b2500;JW2485;purN,492.8530994
Q47622,b1294;JW1287;sapA,300.6838575
P64432,b2611;JW2592;ypjD,446.673654
P75959,b1119;JW1105;nagK;ycfX,259.1452339
P64530,b2105;JW2092;rcnR;yohL,206.4512077
P0A7F9,b0405;JW0395;queA,295.955884
P27303,b2685;emrA;JW2660,591.3343889
P0ACE3,b0460;hha;JW0449,532.6269033
P64429,b2475;JW2460;ypfJ,580.6583199
P29131,b3933;ftsN;JW3904;msgA,319.7373724
P0A915,b1256;JW1248;ompW;yciD,526.3628833
P0ABV6,b0738;JW0728;tolR,504.651245
P0AEE5,b2150;JW2137;mglB,607.3484923
P04995,b2011;cpeA;JW1993;sbcB;xonA,274.6473218
P0C077,b1563;JW1555;relE,327.0689994
B1XBF4;C4ZPV5;P62623,ECDH10B_0030;ispH;b0029;JW0027;lytB;yaaE,528.5961426
P28224,b1639;JW1631;mliC;ydhA,204.0000694
P27829,b3787;JW5599;rffD;wecC,385.5259241
P21151,b3845;fadA;JW5578;oldA,238.9260665
P76578,b2520;JW2504;yfhM,279.7456895
P33368,b2137;JW2125;yohE;yohF,226.1038898
P64588,b3071;JW3042;yqjI,355.6982946
P0A6B4,alr;b4053;JW4013,169.1721178
P52007,b1875;JW5309;yecL;yecM,344.9895438
P63389,b3352;JW3315;yheS,311.8065783
P45469,b3152;JW5528;yraR,333.9321866
P0AD01,b4124;dcuR;JW4085;yjdG,280.9984935
P0A7C2,b4043;exrA;JW4003;lexA;spr;tsl;umuA,337.4836136
P77364,b0514;glxB5;glxK;JW0502;ybbZ,499.0299678
P0A809,b1861;JW1850;ruvA,107.7563968
B1XFU3;C4ZY94;P77285,ECDH10B_1765;rsxG;b1631;JW1623;rnfG;ydgP,267.3592707
P0A754,b0046;JW0045;kefF;yabF,418.6871017
P0A6I3,b3974;coaA;JW3942;panK;rts,364.0975285
P0AEW6,b0477;gsk;JW0466,492.1667806
P0AE39,b2381;JW2378;ypdB,304.9869669
P30870,b3053;glnE;JW3025,251.8353948
P64604,b3193;JW3160;mlaD;yrbD,580.200774
P77348,b1329;JW1322;mppA;ynaH,385.2099996
P00926,b2366;dsdA;JW2363,358.9555851
P67697,b1438;JW1433;ydcQ,372.7473232
P08957,b4349;hsdM;hsm;JW4312,695.8400316
P15038,b0962;helD;JW0945,348.5845466
P27249,b0167;glnD;JW0162,279.7783713
P31433,b3655;JW3630;yicH,397.1388726
P0AEP1,b2943;galP;JW2910,340.337828
P0AEX9,b4034;JW3994;malE,1006.742412
P77212,b0304;JW5040;ykgC,292.9055786
P64610,b3207;JW3174;yrbL,132.5466647
P24205,b1855;JW1844;msbB,394.7966738
P06612,b1274;JW1266;supX;topA,504.7492905
P25894,b2936;JW2903;yggG,611.6733897
P60293,b0922;JW0905;kicB;mukF,409.5143975
P28861,b3924;fpr;JW3895;mvrA,206.4185258
B1XFA6;C5A0L5;P0AGL7,ECDH10B_3121;yggJ;b2946;JW2913;rsmE,306.0436799
P60651,b2937;JW2904;speB,433.0889009
P75958,b1118;JW1104;lolE;ycfW,340.8498436
P0A959,b2290;JW2287;yfbQ,393.3804606
P0ABS1,b0145;dksA;JW0141,467.600928
P0ADC3,b1116;JW5161;lolC;ycfU,311.240093
P0AEA8,b3368;cysG;JW3331,203.7386146
B1XDD6;C4ZVG4;P40120,ECDH10B_1552;mdoD;opgD;b1424;JW1420;ydcG;yzzZ,384.2186504
P10441,b0182;JW0177;lpxB;pgsB,293.87514
P0AFH2,b1244;JW1236;oppB,1019.597271
P0A7Y4,b0214;dasF;herA;JW0204;rnh;rnhA;sdrA,443.2856362
P00936,b3806;cya;cyaA;JW3778,507.4509896
P45579,b0599;JW0592;ybdH,806.9038309
P77788,b1759;JW1748;nudG;ynjG,354.7069454
P76216,astB;b1745;JW1734;ydjT,250.6479545
P32141,b3881;JW3852;yihT,264.559526
P16681,b4107;JW4068;phnB;yjdN,504.226381
P37751,b2032;JW2017;yefI,680.1309586
P0ABN5,b4138;dcuA;genA;JW5735,538.0194076
P76418,b2099;JW2086;yegU,140.444777
P0AF98,b4261;JW4218;lptF;yjgP,622.273201
P36929,b3289;fmu/fmv;JW3250;rrmB;rsmB;sun;yhdB,576.8890139
P0AGB0,b4388;JW4351;serB,378.5211156
P77721,b1770;JW1759;ydjF,547.2247936
P39371,b4310;JW5777;nanM;yjhT,257.8597481
P14175,b2677;JW2652;proV,459.1036486
P76149,b1525;JW5247;yneI,460.4000284
P23830,b2585;JW2569;pss;pssA,635.1389536
P0ACX5,b1675;JW1665;ydhZ,471.5990069
P77202,b0604;dsbG;JW0597;ybdP,560.9947438
P75913,b1033;ghrA;JW5146;ycdW,475.0959642
P31134,b0855;JW5818;potG,447.3163969
P0A6I9,b0103;coaE;JW0100;yacE,357.288811
P0AFK6,b1124;JW1110;potC,539.9476364
P07821,b0151;fhuC;JW0147,273.2311086
P05637,apaH;b0049;JW0048,391.4631258
P60240,b0059;hepA;JW0058;rapA;yabA,565.2760653
P22186,b0081;JW0079;mraZ;yabB,312.4057455
P05458,b2821;JW2789;ptr;ptrA,375.6015375
P0ADE4,b4220;JW4179;yftM;ytfM,267.2285433
P37692,b3620;JW3595;rfaF;waaF,537.9431499
P76143,b1517;JW1510;lsrF;yneB,350.6761846
P0A8D0,b0413;JW0403;nrdR;ybaD,312.8959731
P05052,appY;b0564;JW0553,85.69724157
P77806,b0600;JW0593;ybdL,627.6765992
P23909,b2733;fdv;JW2703;mutS,453.6893565
P0ABF8,b1912;JW1897;pgsA,849.2921824
P0ABJ3,b0430;cyoC;JW0420,626.6525681
P0AA53,b0489;JW0478;qmcA;ybbK,293.5918973
P28903,b4238;JW4197;nrdD,204.6537062
P0A9T6,b0483;JW0472;ybaQ,1062.606577
P77781,b1686;JW1676;ydiI,521.602228
P0ABQ2,b3125;garR;JW5526;yhaE,419.0574959
P38105,b1580;JW1572;rspB,106.0188121
P0C8J8,b2095;gatZ;JW2082,518.2142102
P42604,b3091;JW3062;uxaA;ygjW,121.3476863
P75830,b0878;JW0862;macA;ybjY,388.2494111
P22524,b0923;JW0906;kicA;mukE;ycbA,381.2119207
P07014,b0724;JW0714;sdhB,810.7493946
P0A948,b1066;JW1053;rimJ,299.0497653
P32173,b3857;chlB;JW3829;mob;mobA;narB,358.7159182
P0ACB0,b4052;dnaB;groP;grpA;JW4012,282.0987822
P16384,b4171;JW4129;miaA;trpX,726.6372224
P0AEA2,b1037;csgG;JW1020,567.236976
P75745,b0712;JW0702;ybgK,702.7903704
P20966,b2167;fruA;JW2154;ptsF,346.0353628
P0A8K1,b4160;JW4121;psd,519.1510897
P08395,b1766;JW1755;sppA,553.412556
P0AGB6,b2573;JW2557;rpoE;sigE,395.4394168
P0AAZ4,b0892;JW0875;rarA;ycaJ,308.9196821
P31806,b4167;JW4125;yjeF,351.3951852
P36995,b1557;cspB;JW1549,1005.086532
P13857,b1427;JW1423;rimL,359.9360404
P03023,b0345;JW0336;lacI,582.924261
P37906,b1301;JW1294;ordL;puuB;ycjA,2257.552834
P37749,b2034;JW2019;yefG,827.6676957
P65556,b2299;JW2296;yfcD,1123.819671
P0C0K3,b3859;JW3831;rdoA;yihE,371.0260794
P0AG20,b2784;JW2755;relA,395.2215378
P0AED5,b1914;JW1899;uvrY;yecB,550.9832056
P77318,b1498;JW5243;ydeN,585.6150662
P46125,b1958;JW1941;yedI,348.2141524
P0AE28,aroM;b0390;JW0381,402.8908772
P37590,b2259;JW2254;pmrD,366.3852576
P0AEW9,b2168;fpk;fruK;JW2155,559.7855156
P0AF48,b4056;JW4017;yjbQ,220.8530069
P21345,b4077;gltP;JW4038,666.7858724
P05852,b3064;gcp;JW3036;ygjD,463.3522883
P77279,b0490;JW0479;ybbL,744.0784331
P75828,b0876;JW0860;ybjD,377.4426147
P33232,b3605;JW3580;lctD;lldD,273.8193818
P0A8E5,b0119;JW0115;yacL,673.4638625
P17443,b0090;JW0088;murG,502.3199401
P76112,b1448;JW5233;yncA,413.0876124
P0A8B2,b2331;JW2328;yfcN,321.0991159
P0A7T7,b4202;JW4160;rpsR,1128.939826
P0ACT6,b1618;gusR;JW1610;uidR,180.3602023
P39838,b2216;JW2204;yojN;yojP;yojQ,530.600629
P30843,b4113;basR;JW4074;pmrA,421.6720434
P45568,b0173;dxr;ispC;JW0168;yaeM,376.5166292
P0A8Z0,b1253;JW1245;yciA,747.9566786
P0A6U3,b3741;gidA;JW3719;mnmG;trmF,583.3709129
B1XC20;C5A0V8;P0A7C6,ECDH10B_4210;pepE;b4021;JW3981,984.4207128
P75736,b0686;JW0673;ybfF,315.7828693
P23930,b0657;cutE;JW0654;lnt,366.9517429
P27250,b4269;JW5761;yjgB,746.2354348
P0ADS9,b2958;JW2925;yggN,336.4704765
P37005,b4403;JW4366;lasT;yjtD,471.4138098
P0ADR8,b2795;JW2766;ygdH,473.4836599
P25666,b3618;htrL;JW5644;yibB,125.3457652
P68739,b3998;JW5547;nfi;yjaF,390.776807
P12998,b0776;bioF;JW0759,656.7307584
P52644,b1379;hslJ;JW1374;ydbI,340.8062678
P0AFF2,b2393;cru;JW2389;nupC,667.8316914
P10902,b2574;JW2558;nadB;nicB,1029.510763
P23485,b4292;fecR;JW4252,187.2996472
P64463,b1541;JW1534;ydfZ,370.7319428
P31060,b0760;JW0743;modF;phrA,688.7480714
P24178,b2471;JW2455;yffB,232.6184706
P0A752,b0639;JW0634;nadD;ybeN,593.2517237
P21169,b2965;JW5482;speC,839.0409774
P0ABY4,b2895;fldB;JW2863,559.3606516
P0AEJ6,b2441;eutB;JW2434,393.2497332
P69874,b1126;JW1112;potA,389.317018
P37128,b2467;JW2451;nudK;yffH,581.9764876
P0A8I1,b2949;JW2916;yqgF,377.5297663
P08331,b4213;cpdB;JW4171,737.618322
P08192,b2315;dedC;folC;JW2312,577.8694692
P12295,b2580;JW2564;ung,490.0642487
P0AFB8,b3868;glnG;glnT;JW3839;ntrC,603.1216405
P0A6H8,b1249;cls;JW1241;nov;yciJ,362.1584058
P0A968,b0880;cspD;cspH;JW0864;ybjA,1368.82456
P27828,b3786;JW5600;nfrC;rffE;wecB;yifF,623.4715353
P07604,b1323;JW1316;tyrR,579.1767429
P0A962,ansA;b1767;JW1756,500.4461811
P0A7B3,b2615;JW2596;ppnK;yfjB;yfjE,453.3189622
P0AED7,b2472;dapE;JW2456;msgB,511.971978
P27278,b4390;JW5800;nadI;nadR,533.4548434
P0AEC3,arcB;b3210;JW5536,382.4756187
P0AC86,b3428;glgP;glgY;JW3391,778.6667179
P77376,b1624;JW5265;ydgJ,267.8712862
P0AB77,b3617;JW3592;kbl,258.5242789
P0A7J0,b3041;htrP;JW3009;ribB,1015.294161
P45424,b3221;JW3190;yhcH,391.626535
P06616,b2566;era;JW2550;rbaA,785.1595108
P07109,b2306;hisP;JW2303,671.6118913
P19624,b0052;JW0051;pdxA,438.8517993
Q47679,b0219;JW5019;yafV,496.1539656
P37313,b3540;dppE;dppF;JW3509,787.3600883
P64554,b2777;JW2748;ygcF,744.2636302
P42599,b3087;JW3058;ygjR,755.5824421
P62601,b3519;JW3487;treF,357.92066
P0AG93,b0409;JW0399;secF,517.1901791
P22634,b3967;dga;glr;JW5550;murI;yijA,396.1693113
P51024,b0354;JW0345;yaiL,900.657147
P26648,b3017;JW2985;sufI,753.2293494
P27833,b3791;JW3765;rffA;wecE;yifI,595.1036948
P09053,avtA;b3572;JW5652,949.5273976
P02929,b1252;exbA;JW5195;tonB,478.4404062
P75974,b1145;JW1131;ymfK,515.6214506
B1X6U5;C4ZS97;P33012,ECDH10B_2156;sbmC;b2009;gyrI;JW1991;yeeB,700.5897929
P0A821,b3591;fdhA;JW3564;selA,544.1853821
P0ADT8,b3055;JW3027;ygiM,773.0345468
P0A9K7,b3724;JW3702;nmpA;phoU,297.5028247
P75949,b1107;JW1093;nagZ;ycfO,656.7089705
P05042,b1611;fumC;JW1603,540.7211067
P39377,b4328;iadA;JW4291;yjiF,647.8304029
P06961,b3056;cca;JW3028,483.1683796
P0A7D1,b1204;JW1195;pth,984.3444552
P23917,b0394;JW0385;mak;yajF,1100.179804
P0AGJ2,b3651;JW3626;spoU;trmH,327.2541965
P0A8K5,b4406;JW0185;yaeP,479.3990736
P37636,b3513;JW3481;mdtE;yhiU,1037.757482
P0AB26,b1063;JW1050;yceB,666.8512361
P0CB39,b3955;cptA;JW3927;yijP,888.2162585
P76001,b1177;JW1166;ycgJ,445.5733652
P77552,b1664;JW1656;ydhQ,927.5760924
P0A6T3,b0757;galA;galK;JW0740,689.2382991
P0A7M9,b3936;JW3907;rpmE,2577.943844
P24232,b2552;fsrB;hmp;hmpA;JW2536,913.9368696
P20083,b3030;JW2998;nfxD;parE,826.1643309
P15042,b2411;dnaL;JW2403;lig;ligA;lop;pdeC,661.3062166
P23827,b2209;eco;eti;JW2197,576.8781199
P31130,b1536;JW1529;ydeI,320.3038577
P0A9D4,b3607;cysE;JW3582,805.6837088
P0A746,b1778;JW1767;msrB;yeaA,1050.862901
P77718,b0423;JW0413;thiI;yajK,1149.529388
P28249,asmA;b2064;JW2049;yegA,468.8755199
P0A7A7,b4041;JW4001;plsB,1066.125322
P36655,b4136;cutA2;cycZ;dipZ;dsbD;JW5734,483.7566528
P37595,b0828;iaaA;JW0812;spt;ybiK,363.8469677
P37613,b3459;JW3424;yhhK,929.1775028
P0AEH3,b2267;elaA;JW2262;yfbC,883.2159364
P0AF52,b4064;JW4025;yjcD,1021.41656
P0A9C9,b3925;glpX;JW3896,769.1127255
P0A812,b1860;JW1849;ruvB,559.4151213
P0AGC3,b4392;JW4355;slt;sltY,429.6899891
P0AC55,b0450;glnK;JW0440;ybaI,1731.919846
P39342,b4263;JW4220;yjgR,613.3619516
P13036,b4291;fecA;JW4251,563.9252158
P0A8H6,b3866;JW3837;yihI,662.678854
P0AEH1,b0176;ecfE;JW0171;rseP;yaeL,645.5644618
P0ADA7,b1283;JW1275;osmB,427.8489119
P39286,b4161;engC;JW4122;rsgA;yjeQ,684.9351897
P0A6U8,b3429;glgA;JW3392,836.186763
P0AC30,b3462;ftsS;ftsX;JW3427,589.7002967
P25539,b0414;JW0404;ribD;ribG;ybaE,361.6246023
P0A7X6,b2608;JW5413;rimM;yfjA,1577.661543
P46852,b3439;JW3402;yhhW,506.2526553
P23003,b3965;JW3937;trmA,1005.805533
P30863,b0207;dkgB;JW0197;yafB,371.9847468
P0AAH0,b3725;JW3703;phoT;pstB,659.6721244
P0AA89,b1490;dosC;JW5241;yddV,402.1391947
P09323,b0679;JW0665;nagE;pstN,922.7609674
P0A9X1,b1858;JW1847;yebM;znuC,311.5669115
P0AC33,b1612;fumA;JW1604,1510.881642
P08390,b2319;JW2316;usg,939.396026
P75798,b0831;gsiC;JW0815;yliC,463.831622
B1XEL0;C5A0J7;P0A9B6,ECDH10B_3102;epd;b2927;gapB;JW2894,439.8976184
B1X8Z7;C4ZUC8;P0AFD1,ECDH10B_2447;nuoE;b2285;JW2280,1441.487193
P0A9R7,b3463;ftsE;JW3428,726.1578887
P76329,b1955;JW1938;yedP,518.0181191
P67660,b3105;JW3076;yhaJ,673.137044
P0A9T8,b0495;JW0484;ybbA,471.7079464
P0ACB7,b3802;hemY;JW3774,742.4661288
P08373,b3972;JW3940;murB;yijB,603.034489
P0AAG0,b3541;dppD;JW3510,1192.669422
P00562,b3940;JW3911;metL;metM,964.1797575
P62617,b2746;ispF;JW2716;mecS;ygbB,888.6846982
P67826,b1874;cutC;cutCM;JW1863,565.7880809
P42641,b3183;cgtA;JW3150;obg;obgE;yhbZ,471.4464916
P0A8U0,b2793;JW2764;syd;ydr,1083.621003
P43672,b0949;JW0932;uup;ycbH;ycbI,855.4145812
P0AD99,b0401;brnQ;JW0391,523.8028055
P27848,b3826;JW5854;yigL,785.0723593
P0AG00,b3785;JW5601;wzz;wzzE;yifC,1004.890441
P22523,b0924;JW0907;mukB,885.1441651
P13482,b1197;JW1186;osmA;treA,695.6875163
P18956,b3447;ggt;JW3412,943.982378
P18196,b1176;JW1165;minC,564.6877922
P0A6C5,argA;b2818;JW2786,1936.726067
P37757,b1464;JW1459;yddE,426.3019713
P0AEM4,b1071;flgM;JW1058,755.5279724
P67087,b3146;JW3115;rsmI;yraL,736.2892603
P37760,b2040;JW2025;rfbD;rmlD,842.27648
P0AG80,b3453;JW3418;ugpB,1071.365311
P0A921,b3821;JW3794;pldA,777.9259294
P0A9P6,b3162;csdA;deaD;JW5531;mssB;rhlD,1182.864869
P0AGI8,b3290;JW3251;trkA,613.078709
P39160,b4323;JW4286;uxuB,332.7556402
P04968,b3772;ilvA;JW3745,1171.099405
P0C054,b3687;hslT;htpN;ibpA;JW3664,605.4856272
P0ACL0,b3423;glpR;JW3386,950.6494742
P0A9L3,b4207;fklB;JW5746;ytfC,2221.058109
P25522,b3706;JW3684;mnmE;thdF;trmE,735.7445629
P37648,b3527;JW3495;yhjJ,885.5799231
P0A840,b2744;JW2714;surE;ygbC,639.2677598
P46853,b3440;JW3403;yhhX,1013.758115
P0A8W5,b2948;JW2915;yqgE,786.7718151
P77689,b1681;JW1671;sufD;ynhC,749.1005431
P64483,b1787;JW1776;yeaK,422.3038924
P77554,b0324;JW0316;yahJ,548.7935221
P37330,b2976;glc;glcB;JW2943,1007.101912
P76403,b2081;JW2066;yegQ,918.7955704
P00490,b3417;JW5689;malP,1320.564371
P0A8T1,b3259;JW3227;prmA;yhdI,672.5814527
P0AC84,b0212;gloB;JW0202;yafR,1070.199659
P33219,b1847;JW1836;yebF,1809.375816
P0AGE6,b3713;JW3691;yieF,921.4101179
P0ADC6,b4262;JW5760;lptG;yjgQ,831.6984565
B1XFS1;C4ZUT8;Q59385,copA;ECDH10B_0441;b0484;JW0473;ybaR,396.8229481
P0AG78,b3917;JW3888;sbp,2101.333621
P0AF20,b0676;JW0662;nagC;nagR,474.5185849
P0A725,asmB;b0096;envA;JW0094;lpxC,675.4029852
P36680,b0102;JW0099;yacF,1140.923169
P30871,b3054;JW3026;ygiF,816.8500054
P75777,b0795;JW0779;ybhG,788.057301
P75914,b1034;JW1017;ycdX,1183.409566
P31475,b3755;JW5608;yieP,815.7279288
P39337,b4256;JW5758;yjgM,665.195356
P68688,b0849;grx;grxA;JW0833,504.3244265
P77756,b0444;JW0434;queC;ybaX,1033.824767
P39451,adhP;b1478;JW1474;yddN,412.7063243
P43533,b1070;flgN;JW1057,938.2630554
P0ADI7,b1867;JW5307;yecD,640.9998976
P31979,b2284;JW2279;nuoF,1688.017235
P0AAB4,b3843;JW3819;ubiD;yigC;yigY,616.9678484
P76537,b2432;JW2425;yfeY,696.6026079
P08244,b1281;JW1273;pyrF,1599.449438
B1X8Z9;C4ZUD0;P0AFC7,ECDH10B_2449;nuoB;b2287;JW5875,1875.175261
P13009,b4019;JW3979;metH,1227.530055
P75876,b0967;JW5898;rlmI;yccW,898.5001453
P09996,b3698;JW3675;yidB,1105.08208
B1X776;C4ZVY1;P15067,ECDH10B_3605;glgX;b3431;glyX;JW3394,1035.480647
P0AG16,b2312;JW2309;purF,2773.490209
P62517,b1049;JW1037;mdoH;opgH,747.1832083
P0A7I4,b4375;JW5873;miaD;prfC;tos,1654.463876
P76290,b1870;cmoA;JW1859;yecO,702.9973554
P0AF67,b4168;JW4126;yjeE,711.1351345
P0A8F4,b2066;JW2051;udk,700.2411865
P68206,b4045;JW4005;yjbJ,1138.526501
P38521,b2959;JW2926;yggL,1468.613124
P0ADP0,b3812;JW3785;yigB,1410.112623
P0ABH0,b0094;divA;ftsA;JW0092,786.2162238
P37750,b2033;JW2018;wbbJ;yefH,1457.174478
P31678,b1897;JW1886;otsB,604.5160659
P0AF03,b0009;chlG;JW0008;mog;mogA;yaaG,855.8285512
B1XBL8;C4ZTW2;P37765,ECDH10B_1384;rluB;b1269;JW1261;yciL,1128.28619
P0A6G3,b2700;JW2670;ygaD,1176.3285
P76243,b1792;JW1781;yeaO,878.3136598
P75957,b1117;JW5162;lolD;ycfV,631.0428291
P0ABQ0,b3639;coaBC;dfp;JW5642,783.4164792
P0AG90,b0408;JW0398;secD,1249.64477
P0A731,b0963;JW5129;mgsA;yccG,1166.632886
